ID	post_title	post_name	age_range	hero_description	hero_image	locations_served	cta_link	prism_description	schedule_items	meta_title	meta_description
4293	Toddlers	toddler-care	12 - 24 Months (Walkers)	Curated environments for new walkers and talkers. We turn "no" into "let's explore" with safe boundaries and endless curiosity.		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4419;i:11;i:4415;i:12;i:4409;i:13;i:4413;i:14;i:4420;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/toddler-care/	As mobility increases, Physical focus shifts to gross motor skills. Social and Creative pillars grow as parallel play begins and language explodes.	6:30am | Morning Welcome | Sweet arrivals with cozy child-led play and gentle settling in
\n7:30am | Care & Clean Hands | Caring diapering and fresh handwashing to start the day
\n8:00am | Breakfast & Care | Happy breakfast time with personal care as needed
\n8:30am | Circle & Music | Hello friends—circle time, language fun, then wiggles and dances
\n9:00am | Outdoor Play | Fresh-air adventures and big toddler smiles
\n9:30am | Learning Centers | Free-choice centers for exploring, building, and pretend play
\n10:15am | Story & Lunch Prep | Snuggly storytime and getting ready for lunch
\n10:30am | Lunch & Care | Lunch time with warm support and gentle care
\n11:00am | Freshen Up | Diapering plus handwashing before settling down
\n11:30am | Rest Time | Cozy rest to recharge little bodies
\n1:30pm | Wake & Snack Prep | Diapering, handwashing, and a calm reset before snack
\n2:00pm | Snack | Tasty afternoon snack and happy refuel time
\n2:15pm | Outdoor Motor Play | Big-body movement, outdoor fun, and growing-strong play
\n3:00pm | Water + Art/Fine Motor | Water break plus little hands art and fine-motor fun
\n3:30pm | Sensory Time | Squishy, splashy, touch-and-try sensory exploration
\n3:45pm | Free Play & Centers | Child-led play and favorite centers to end the day
\n4:45pm | Care & Table Toys | Diapering, table toys, and gentle transition time
\n5:15pm | Dismissal | Calm wind-down, free play, and sweet goodbyes
\nNotes | Free Play | Play happens throughout the day whenever children aren’t eating, sleeping, or in care routines
\nNotes | Flexible Schedule | The day flexes lovingly to meet each toddler’s needs
\nNotes | Diaper Checks | Diaper checks happen at least every 2 hours (or anytime needed)
\nNotes | Handwashing | Handwashing happens all day—especially during transitions and after diapering
\nNotes | Art Offering | Art is offered during child-led play: 3x/week (12–23 months) and daily (24m+)		
4322	Preschool	preschool	24 - 36 Months	Introduction to structured learning centers and collaborative play. We channel their boundless energy into creative expression and early concepts.		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4419;i:11;i:4415;i:12;i:4409;i:13;i:4413;i:14;i:4420;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/preschool/	The "me" stage turns into the "we" stage. Social skills skyrocket as cooperative play begins. Creative expression is central to learning abstract concepts.	6:30am | Morning Welcome | Sweet arrivals with cozy, child-led play
\n7:30am | Care & Clean Hands | Loving diapering and fresh handwashing
\n8:00am | Breakfast & Care | Yum time + gentle personal care as needed
\n8:30am | Circle Time | Hello friends—songs, smiles, and little learning moments
\n8:45am | Learning Centers | Free-choice centers for curious exploring and play
\n9:45am | Outdoor Play | Fresh air adventures and happy movement
\n10:15am | Fine Motor & Art | Little hands at work, art and fine-motor fun
\n10:45am | Lunch & Care | Lunch time with support and kindness
\n11:15am | Potty/Diapering | Quick restroom/diaper check with caring help
\n11:30am | Story Time | Snuggly storytime and calm listening
\n11:45am | Rest Time | Cozy rest to recharge
\n1:45pm | Potty/Diapering Reset | Freshen up + handwashing
\n2:00pm | Snack | A tasty afternoon pick-me-up
\n2:15pm | Music & Movement | Wiggles, giggles, and dancing feet
\n2:30pm | Story & Large Group | Storytime + fun group activity together
\n3:00pm | Outdoor/Gross Motor | Big-body play and movement adventures
\n3:45pm | Water & Centers | Water break + relaxed free-choice centers
\n4:30pm | Table Toys & Transition | Puzzles, table play, and a gentle wind-down
\n5:30pm | Dismissal | Calm transitions and happy goodbyes
\nNotes | Flexible Schedule | This schedule lovingly flexes to meet each child’s needs
\nNote | Diaper Checks | Checked at least every 2 hours (and anytime needed)
\nNotes | Handwashing | Happens throughout the day, especially during transitions and after diapering
\nNotes | Art Offering | Art happens during child-led play: 3x/week (12–23 months) and daily (24m+)
\nNotes | Free Play | Free play happens whenever children aren’t eating, sleeping, or in care routines		
4323	Pre-K Prep	pre-k-prep	3 - 4 Years	Building the stamina and independence needed for "big school". Structured centers focusing on writing grip, logic, and multi-step projects.		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4419;i:11;i:4415;i:12;i:4409;i:13;i:4413;i:14;i:4420;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/pre-k-prep/	The chart shifts towards Academic preparation. We focus on self-regulation (Emotional/Social) and the physical stamina needed for writing (Fine Motor).	6:30am | Early Arrival | A gentle, happy start with cozy play, handwashing & restroom care
\n7:30am | Breakfast | Clean hands and a cheerful breakfast together
\n8:30am | Clean Up & Restroom | Helpful tidying + caring restroom/diapering and fresh hands
\n9:00am | Circle Time & Story | Joyful songs, weather fun, colors, letters & a sweet story
\n9:15am | Literacy | Encouraging early reading & writing adventures
\n9:35am | Center Time | Playful exploring in favorite learning centers
\n10:35am | Clean Up & Restroom | Quick tidy time + freshen up
\n10:45am | Music & Movement | Wiggly, giggly dancing and movement fun
\n11:00am | Play Time | Outdoor adventures or cozy indoor play
\n11:50am | Lunch Time | Wash up, share lunch, practice kindness & table manners
\n12:30pm | Nap Time | Gentle winding down, comfy snuggles & peaceful rest
\n2:30pm | Refresh Time | Soft wake-up, clean-up, restroom care & a happy little snack
\n3:10pm | Story & Sounds | Another sweet story + playful sound games
\n3:40pm | Restroom Break | Caring restroom/diapering & fresh hands
\n3:50pm | Outside Time | Afternoon sunshine & playful outdoor fun
\n4:50pm | Small Group | Warm, focused activities with friends
\n5:20pm | Dismissal | Calm, happy center play while waiting for loved ones		
4324	Pre-K / GA Pre-K	ga-pre-k	4 - 5 Years	State-funded ( Where Available) and Private education preparing children for Kindergarten. We align with GELDS standards to provide a rigorous, joyful, and literacy-rich environment. Georgia Pre-K follows Creative Curriculum		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4419;i:11;i:4415;i:12;i:4409;i:13;i:4413;i:14;i:4420;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/ga-pre-k/	The chart peaks at Academic and Social readiness. Children learn to navigate complex social dynamics while mastering phonics, numbers, and inquiry-based science.	6:30am | Early Arrival | A sweet start with handwashing, restroom break, and cozy free play
\n7:30am | Breakfast | Clean hands and breakfast with friends
\n9:00am | Clean Up & Freshen Up | Tidy up, restroom break, and handwashing
\n9:30am | Circle + Music | Warm welcome, songs, weather talk, and fun learning (colors, shapes, numbers, phonics)
\n9:50am | Small Group & Story | Small group learning, story time, and playful free time
\n10:30am | Recess | Outdoor/indoor recess for big play and big smiles
\n11:20am | Wash Up Break | Restroom break and handwashing
\n11:30am | Lunch | Lunch time with kind manners and friendly chats
\n12:00pm | Nap Prep | Wash hands, wipe tables, and gather cozy nap supplies
\n12:30pm | Nap/Rest | Peaceful rest time to recharge
\n2:30pm | Rise & Shine | Gentle wake-up and tidy-up (cots, sheets, blankets away)
\n2:40pm | Freshen Up | Restroom break and handwashing
\n3:00pm | Snack | A yummy afternoon snack to refuel
\n3:30pm | Day Review Circle | Share what we learned today with fun questions and conversation
\n3:50pm | Music & Free Play | Move, dance, and enjoy free play
\n4:30pm | Recess | More outdoor/indoor playtime fun
\n5:15pm | Wash Up Break | Restroom break and handwashing
\n5:30pm | Free Play | Child-led play and a calm wind-down until pickup
\nNotes | Wrap Care | Schedule includes wrap-around care to support families during extended hours
\nNotes | Handwashing | Handwashing happens throughout the day, especially during transitions and after restroom breaks
\nNotes | Restroom Breaks | Restroom breaks are built into the day and supported with gentle reminders and help as needed
\nNotes | Flexible Flow | Times are a guide—activities may flex to meet children’s needs and classroom rhythm		
4325	Schoolagers	after-school	5 - 12 Years	Transportation from local elementary schools, homework assistance, and club-style activities. A safe place to unwind, connect, and create.		a:19:{i:0;i:4406;i:1;i:4410;i:2;i:4237;i:3;i:4414;i:4;i:4288;i:5;i:4407;i:6;i:4408;i:7;i:4336;i:8;i:4417;i:9;i:4420;i:10;i:4419;i:11;i:4289;i:12;i:4415;i:13;i:4409;i:14;i:4413;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/after-school/	After a structured school day, we prioritize Social connection and Creative freedom. We support academics through homework help, but the focus is on holistic enrichment.	3:00pm | Snack | A yummy snack to refuel and settle in
\n3:15pm | Homework & Calm Time | Homework help, journaling, and quiet relaxing activities
\n3:45pm | Outdoor Play | Fresh air fun and big-moves gross motor play
\n4:15pm | Free Choice Centers | Child-led centers and choice time with friends
\n5:00pm | Puzzles & Transition | Puzzles and a smooth, cozy wrap-up for pickup
\n5:30pm | Dismissal | Calm afternoon transition and happy goodbyes		
4326	Camp ( Summer, Winter, Fall)	camp-summer-winter-fall	Ages 5 - 12 (Seasonal)	When school is out, Chroma is in. Our seasonal camps offer weekly themes, field trips, and hands-on STEM projects that keep minds engaged and bodies moving.		a:23:{i:0;i:4406;i:1;i:4289;i:2;i:6779;i:3;i:4410;i:4;i:6781;i:5;i:4237;i:6;i:4414;i:7;i:4288;i:8;i:4407;i:9;i:4408;i:10;i:4336;i:11;i:4417;i:12;i:4419;i:13;i:4415;i:14;i:4409;i:15;i:4413;i:16;i:4420;i:17;i:4416;i:18;i:6782;i:19;i:6780;i:20;i:4290;i:21;i:4287;i:22;i:4411;}	/camp-summer-winter-fall/	Camp shifts the focus away from academic drills toward Social collaboration and Creative problem solving. We use "stealth learning" to keep academic skills sharp through fun challenges.	Summer Camp | 10 weeks of unique themes like "Cosmic Voyagers," "Deep Sea Divers," and "Junior Chefs." Includes weekly water play. | MAY-JULY
\nFall Break | A week of autumn-inspired discovery, leaf chromatography, pumpkin engineering, and cozy storytelling.| SEPTEMBER/OCTOBER
\nWinter Break | Holiday-themed robotics, ice excavation experiments, and global cultural celebrations. | DECEMBER		
6785	Kindergarten	kindergarten-1	5 - 6 Years	Our Private Kindergarten program blends the research-backed power of The Creative Curriculum® with targeted, mastery-based instruction in reading and math. We don't just prepare students for 1st grade—we equip them with the critical thinking, independence, and unshakeable confidence to lead.		a:1:{i:0;i:4411;}	https://chromaela.com/programs/kindergarten/	We believe that academic rigor and whole-child development are not mutually exclusive. By seamlessly integrating purposeful play with explicit, teacher-directed instruction, we cultivate a deep, enduring love of learning alongside tangible academic mastery.			
7708	Rising Pre-K	rising-pre-k	Pre-K Eligible				https://chromaela.com/programs/rising-pre-k/				
7709	Rising Kindergarten	rising-kindergarten	Pre-K Graduates				https://chromaela.com/programs/rising-kindergarten/				
4327	Parent's Day Out	parents-day-out	3 - 5 Years	A flexible, part-time program designed to introduce children to a classroom setting while giving parents a well-deserved break. The perfect stepping stone to full-time school.		a:19:{i:0;i:4406;i:1;i:4289;i:2;i:4410;i:3;i:4237;i:4;i:4414;i:5;i:4288;i:6;i:4407;i:7;i:4408;i:8;i:4336;i:9;i:4417;i:10;i:4420;i:11;i:4419;i:12;i:4415;i:13;i:4409;i:14;i:4413;i:15;i:4416;i:16;i:4290;i:17;i:4287;i:18;i:4411;}	/parents-day-out/	In a condensed timeframe, we maximize Social interaction and Emotional separation practice. It's about learning to be a friend, following a routine, and transitioning confidently away from caregivers.	8:00am | Warm Welcome & Free Play | Hello hugs, easy drop-off, and calm exploring with friends
\n8:15am | Circle Time | Songs, names, feelings, and a cheerful plan for our morning
\n8:30am | Learning Centers | Child-choice play: blocks, dramatic play, toys, puzzles, and tables
\n9:00am | Snack | Tasty snack and sweet social time (plus clean hands!)
\n9:20am | Story & Language Fun | Cozy storytime with rhymes, puppets, and big imagination
\n9:40am | Art & Sensory | Little hands create—paint, glue, playdough, or sensory bins
\n10:10am | Gross Motor Play | Wiggles and giggles—music & movement or playground time
\n10:40am | STEM/Discovery | Simple science, sorting, building, and “wow!” discovery activities
\n11:00am | Outdoor/Indoor Play | Fresh air fun or indoor big-body play (weather-friendly)
\n11:30am | Calm Down & Pick-Up Prep | Books, quiet toys, and getting ready to go home
\n11:50am | Goodbye Circle | High-fives, quick recap, and happy reunions
\nNotes | Flexible Flow | Times are a guide—activities flex to meet children’s needs and keep the morning joyful
\nNotes | Handwashing | Handwashing happens before/after snack and anytime we transition
\nNotes | Safety & Comfort | We keep drop-off gentle and comforting, and we’ll contact families if a child needs extra support		
__LOCATIONS__
__LOCATIONS__
ID	post_title	post_name	address	city	state	zip	phone	email	hours	latitude	longitude	director_name	quality_rated	special_programs	tour_link	google_rating	hero_gallery	faq_items
6779	Chadwick Campus	chroma-early-learning-academy-chadwick	1479 Purcell Rd, Lawrenceville, GA 30043	Lawrenceville	GA	30043	+14706134403	info@chromaela.com	6:30am - 6:30pm	34.0036	-84.0095		1					What programs are available at Chroma Chadwick?|Daycare, preschool, Pre-K, and school-age programs are available for children 6 weeks to 12 years.
\nDoes the Chadwick campus provide before and after school care?|Yes, we offer before and after school care with school pickup services for nearby Lawrenceville elementary schools.
\nWhat are the hours at the Chadwick campus?|We are open Monday through Friday, 6:30am to 6:30pm.
4406	Cherokee Academy by Chroma, Canton GA	cherokee-campus	1205 Upper Burris Road	Canton	GA	30114	470-470-6589	canton@chromaela.com	6:30am-6:00pm	34.3468408	-84.4919414	Nadine Wainehouse	1		https://api.leadconnectorhq.com/widget/booking/zECE5s1LMyXEhyBX9f38	4.8	https://chromaela.com/wp-content/uploads/2025/11/DJI_0230.webp
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0257.webp
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0245.webp
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00026.webp
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00032.webp
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00047.webp	
4289	Downtown Duluth	pleasanthill-campus-duluth	3152 Creek Dr NW, Duluth, GA 30096, United States	Duluth		30096	470-470-3436	pleasanthill@chromaela.com	6:30am-6:30pm	33.9849116	-84.1527615	Ranae Johnson	1		https://api.leadconnectorhq.com/widget/booking/qqekul20rH0iU9Yrhfp2	4.6	https://chromaela.com/wp-content/uploads/2025/11/DSC00732.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0067.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0070.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00665.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00683.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00701.webp	
4410	Ellenwood Campus	ellenwood-campus	2765 E Atlanta Rd	Ellenwood	GA	30294	678-580-6526	ellenwood@chromaela.com	6:30am-6:30pm	33.6152419	-84.2444789	Lanitra Smith	1		https://api.leadconnectorhq.com/widget/booking/tIPQTdmWIh0f5bix6BYI	5	https://chromaela.com/wp-content/uploads/2025/11/DJI_0356.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0320.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0323.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00617.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00632.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00773.webp	Q1. What ages does Chroma Early Learning Academy serve in Ellenwood?|We offer care for infants through preschool and school-age children.
\nQ2. Do you offer GA Pre-K in Ellenwood, GA?|Yes, we provide a GA Pre-K program focused on kindergarten readiness.
\nQ3. Is your daycare safe and secure?|Yes, our classrooms are camera-secured with trained staff and controlled access.
6781	Grayson Campus	chroma-early-learning-academy-grayson	550 Grayson Pkwy	Grayson	GA	30017	678-694-1679	grayson@chromaela.com	6:30am-6:30pm	33.8916793	-83.9608666			Georgia Pre-K Program Summer Camp Program Before &amp; After School Care STEM Enrichment Art &amp; Music Programs	https://api.leadconnectorhq.com/widget/booking/DLsmw93ZEEpM0kZigr7s			What ages does Chroma Grayson serve?|We welcome children from 6 weeks to 12 years old, with dedicated programs for infants, toddlers, preschoolers, and school-age students.
\nWhat are your operating hours?|Our Grayson campus operates Monday through Friday, 6:30am to 6:30pm, offering flexible care options for busy families.
\nWhat programs are offered at the Grayson campus?|We provide infant care, toddler programs, preschool, Georgia Pre-K, before and after school care, and an engaging summer camp experience.
4237	Johns Creek Campus	johns-creek	3580 Old Alabama Rd	Johns Creek	GA	30022	470-719-1154	johnscreek@chromaela.com	6:30am-6:30pm	34.0246511	-84.2575523	Deka Janifer	1		https://api.leadconnectorhq.com/widget/booking/bvRtKWyDdeT04M7xqMFp	4.6	https://chromaela.com/wp-content/uploads/2025/11/DJI_0550.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0538.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0547.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00632.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00596.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00617.webp	Which neighborhoods does Chroma Johns Creek serve?|We serve families throughout Johns Creek, Medlock Bridge, Ocee, and surrounding North Fulton areas.
\nAre there nearby elementary schools?|Yes, we’re close to Barnwell, Medlock Bridge, Ocee, and Abbotts Hill Elementary Schools.
4414	Jonesboro Campus	jonesboro-campus	1832 Noahs Ark Road	Jonesboro	GA	30236	470 516 4747	jonesboro@chromaela.com	6:30am-6:30pm	33.4938883	-84.3298115	Deborah Wise	1		https://api.leadconnectorhq.com/widget/booking/xWGlsOdqIKse4lsMLc7l	4.9	https://assets.cdn.filesafe.space/euN4JvLvKNYTYh4Xyh3p/media/68f9a92ca2cacb1f1bd2f987.jpeg	
4288	Lawrenceville Campus	lawrenceville-campus	3650 Club Drive	Lawrenceville		30044	470-570-1633	lawrenceville@chromaela.com	6:30am-6:30pm	33.9410279	-84.1247219	Tiffany Coble	1		https://api.leadconnectorhq.com/widget/booking/67769JnL2EBl6QgdmKQE	4.4	https://chromaela.com/wp-content/uploads/2025/11/DJI_0415.webp\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00449.webp\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00359.webp\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC00440.webp\nhttps://chromaela.com/wp-content/uploads/2026/06/file_36-6e4b1cd8-88c0-4b6e-a8fb-abc9083f6d8f.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_37-3059b080-6caf-4829-b0fb-c6ebb6159896.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_38-509ded38-fb63-49f8-ba4c-584dc28008b5.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_39-78f70948-41ac-486e-933d-a9e3afabd8f2.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_40-9e767e18-5f2d-43f0-b8f0-b1eb3e69de4a.jpg	What ages does Chroma Lawrenceville serve?|We serve children from 6 weeks through 12 years old, with programs for infants, toddlers, preschoolers, Pre-K students, and school-age children.
\nDoes Chroma Lawrenceville offer GA Pre-K?|Yes — we are a Georgia Lottery Pre-K partner offering tuition-free Pre-K for eligible 4-year-olds. Contact us to check availability.
\nWhat are the hours at Chroma Lawrenceville?|We are open Monday through Friday, 6:30 AM to 6:30 PM.
\nWhere is Chroma Lawrenceville located?|3650 Club Drive, Lawrenceville, GA 30044 — near Five Forks Trickum Road and Sugarloaf Parkway, close to Shorty Howell Park.
\nDo you offer after-school pickup?|Yes — we provide after-school pickup from nearby Gwinnett County elementary schools including Corley Elementary and Kanoheda Elementary, plus homework time and seasonal camps.
\nHow do I schedule a tour?|Call us at 470-570-1633 or book a tour through our website.
4407	Lilburn Campus	lilburn-campus	917 Killian Hill Road Southwest	Lilburn	GA	30047	470-410-6370	lilburn@chromaela.com	6:30am-6:30pm	33.8686888	-84.0968565		1		https://api.leadconnectorhq.com/widget/booking/JeuEbfbkP6QQmVWzsWtC	4.5	https://chromaela.com/wp-content/uploads/2026/06/file_41-55d75599-ead5-4de1-9b42-c9c764742b06.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_42-48e351ec-e80c-4669-ad4b-23d7301e3132.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_43-d5d6617d-9a46-4c6b-a10f-31d887b6f78c.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_44-44b9dc5a-4b99-46d2-82f8-2e66aa1c6252.jpg\nhttps://chromaela.com/wp-content/uploads/2026/06/file_45-75334ef2-1573-4fd2-843e-f73ba419a3e6.jpg	What programs are available at Chroma Lilburn?|Daycare, preschool, and early learning programs are available.
\nDoes the Lilburn campus serve school-age children?|Yes, we provide before and after school care.
4408	Marietta Campus ( East )	east-cobb-campus	2499 Shallowford Road NE	Marietta	GA	30066	470-649-1836	marietta@chromaela.com	6:30am-6:30pm	34.0419908	-84.4790683	Michelle Steppling	1		https://api.leadconnectorhq.com/widget/booking/SKL3QivWiTnZZpXCsWKm	4.8	https://chromaela.com/wp-content/uploads/2025/11/DJI_0177.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0189.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DJI_0191.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC09890.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC09914.webp 
\nhttps://chromaela.com/wp-content/uploads/2025/11/DSC09920.webp	What childcare services are offered at Chroma Marietta?|We offer daycare, preschool, and school-age care in Marietta, GA
\nWhat ages are accepted at this location?|Infants through school-age children are welcome.
4336	Mcdonough Campus	mcdonough	90 Hunters Chase	Mcdonough	GA	30253	470-594-5605	mcdonough@chromaela.com	6:30am-6:30pm	33.3944376	-84.175741	Tiffany Sicard	1		https://api.leadconnectorhq.com/widget/booking/3thRnaBKafPMVuUkOSdw	4.2	https://chromaela.com/wp-content/uploads/2025/11/DJI_0488.webp	What areas does Chroma McDonough serve?|Our McDonough campus serves families from Eagles Landing, Lake Dow, Ola, Stockbridge, Locust Grove, and Hampton.
\nIs Chroma McDonough close to local schools?|Yes, we are conveniently located near Henry County schools, making drop-off and pick-up easy for parents.
