program,url,statusCode,requirement,status,evidence
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Movement,Present," across physical, emotional, social, academic, and creative development. Prismpath™ Focus Movement & Language As mobility increases, Physical focus shifts to gross motor skills. Social and Creative pillars grow as parallel play begins and language explodes. High Physical: Walking, climbing, carrying objects. "
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Routines,Present, & signing. Social Awareness: Parallel play and empathy building. Sample Day Rhythm not a routine Slide through a sample Toddlers day built from this program schedule. Toddlers 6:30am Morning Welcome Sweet arrivals with cozy child-led play and gentle settling in What families can expect Toddlers is supported 
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Early peer interaction,Present,"rs build independence through hands-on exploration, predictable routines, movement, early peer interaction, language growth, and warm guidance that supports emotional regulation. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrate growth, and help parents"
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Emotional regulation,Present,"tines, movement, early peer interaction, language growth, and warm guidance that supports emotional regulation. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrate growth, and help parents understand what support comes next. Classroom environment Each cla"
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,Hands-on exploration,Present,"scovery Phase. Curated environments for new walkers and talkers. We turn ""no"" into ""let's explore"" with safe boundaries and endless curiosity. View Curriculum View Lesson Plan View Locations All Programs Prismpath five-pillar development chart Radar chart showing the balance across physical, emotional, social"
toddler-care,https://x3yyntt5tp-staging.wpdns.site/programs/toddler-care/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Inquiry,Present,"t so children can feel known, safe, and ready for what comes next. Ask About This Program Curiosity becomes school readiness Inquiry and communication grow through early literacy, mathematical thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kinderg"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Communication,Present,"or what comes next. Ask About This Program Curiosity becomes school readiness Inquiry and communication grow through early literacy, mathematical thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kindergarten readiness without rushing development. Te"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Early literacy,Present,"he structure to feel safe and the freedom to explore. Learning Centers Collaborative play Early literacy Creative expression Prismpath five-pillar development chart Radar chart showing the balance across physical, emotional, social, academic, and creative development for Preschool. Physical Emotional Social A"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Mathematical thinking,Present,"Curiosity becomes school readiness Inquiry and communication grow through early literacy, mathematical thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kindergarten readiness without rushing development. Teacher and family partnership Families stay "
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Cooperative play,Present,"24 - 36 Months Centers of wonder. Introduction to structured learning centers and collaborative play. We channel their boundless energy into creative expression and early concepts. View Curriculum View Lesson Plan View Locations All Programs Preschool Busy hands, calm hearts. Preschoolers are ready fo"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Problem solving,Present,"y and communication grow through early literacy, mathematical thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kindergarten readiness without rushing development. Teacher and family partnership Families stay close to the learning. Teachers share obs"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Self-regulation,Present,"thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kindergarten readiness without rushing development. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrate growth, and help parents understand what "
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,Kindergarten readiness,Present,"feel known, safe, and ready for what comes next. Ask About This Program Curiosity becomes school readiness Inquiry and communication grow through early literacy, mathematical thinking, cooperative play, problem solving, and creative projects. Teachers also support self-regulation and kindergarten readiness wi"
preschool,https://x3yyntt5tp-staging.wpdns.site/programs/preschool/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Inquiry,Present,"t. Ask About This Program Ready for a more connected classroom rhythm Children strengthen inquiry and communication through early literacy, mathematical thinking, cooperative play, and problem solving. Teachers support self-regulation and kindergarten readiness through purposeful, age-appropriate experiences."
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Communication,Present,"awareness practice helps children hear and work with sounds before formal reading begins. Language-rich classrooms Teachers reinforce literacy through read-alouds, songs, vocabulary, conversation, and purposeful play. Kindergarten confidence Children build listening, oral language, and sound-awareness skills "
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Early literacy,Present,"incer grip mastery and tracing. Self-Regulation: Managing transitions and impulses. Pre-K literacy readiness Sound awareness that helps children step into kindergarten with confidence. In Pre-K and GA Pre-K classrooms, literacy readiness grows through stories, songs, conversation, vocabulary, and playful soun"
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Mathematical thinking,Present,"ed classroom rhythm Children strengthen inquiry and communication through early literacy, mathematical thinking, cooperative play, and problem solving. Teachers support self-regulation and kindergarten readiness through purposeful, age-appropriate experiences. Teacher and family partnership Families stay clos"
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Cooperative play,Present,"ldren strengthen inquiry and communication through early literacy, mathematical thinking, cooperative play, and problem solving. Teachers support self-regulation and kindergarten readiness through purposeful, age-appropriate experiences. Teacher and family partnership Families stay close to the learning. Teac"
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Problem solving,Present,"ry and communication through early literacy, mathematical thinking, cooperative play, and problem solving. Teachers support self-regulation and kindergarten readiness through purposeful, age-appropriate experiences. Teacher and family partnership Families stay close to the learning. Teachers share observation"
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Self-regulation,Present,"ath™ Focus Academic Readiness. The chart shifts towards Academic preparation. We focus on self-regulation (Emotional/Social) and the physical stamina needed for writing (Fine Motor). Logic & Order: Sequencing, sorting, and patterns. Pre-Writing: Pincer grip mastery and tracing. Self-Regulation: Managing trans"
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,Kindergarten readiness,Present,"cal thinking, cooperative play, and problem solving. Teachers support self-regulation and kindergarten readiness through purposeful, age-appropriate experiences. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrate growth, and help parents understand what "
pre-k-prep,https://x3yyntt5tp-staging.wpdns.site/programs/pre-k-prep/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,State-funded program,Present,"4 - 5 Years The Readiness Phase. State-funded ( Where Available) and Private education preparing children for Kindergarten. We align with GELDS standards to provide a rigorous, joyful, and literacy-rich environment. Georgia Pre-K follows Creative Curric"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Eligibility,Present," Georgia Pre-K enrollment and wraparound care Georgia Pre-K is a state-funded program for eligible four-year-old children. Enrollment follows the Georgia lottery and application process, with campus availability determining placement. Before- and after-school wraparound care options vary by campus; families s"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Lottery or application process,Present," state-funded program for eligible four-year-old children. Enrollment follows the Georgia lottery and application process, with campus availability determining placement. Before- and after-school wraparound care options vary by campus; families should confirm the current schedule and availability with enrollm"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Schedule,Present,"GA Pre-K Daily Rhythm Slide through a sample Pre-K / GA Pre-K day built from this program schedule. Pre-K / GA Pre-K 6:30am Early Arrival A sweet start with handwashing, restroom break, and cozy free play What families can expect Pre-K / GA Pre-K is supported by more than a schedule. The daily experience is b"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Wraparound care,Present," safe, and ready for what comes next. Ask About This Program Georgia Pre-K enrollment and wraparound care Georgia Pre-K is a state-funded program for eligible four-year-old children. Enrollment follows the Georgia lottery and application process, with campus availability determining placement. Before- and aft"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Campus availability,Present,"literacy-rich environment. Georgia Pre-K follows Creative Curriculum View Curriculum View Locations All Programs Prismpath five-pillar development chart Radar chart showing the balance across physical, emotional, social, academic, and creative development for Pre-K / GA Pre-K. Physical Emotional Social Academ"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,Curriculum and state standards,Present,"Where Available) and Private education preparing children for Kindergarten. We align with GELDS standards to provide a rigorous, joyful, and literacy-rich environment. Georgia Pre-K follows Creative Curriculum View Curriculum View Locations All Programs Prismpath five-pillar development chart Radar chart show"
ga-pre-k,https://x3yyntt5tp-staging.wpdns.site/programs/ga-pre-k/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Accreditation,Present," counting to true conceptual mastery, building deep mathematical confidence step-by-step. Accreditation & Affordability Recognized Excellence. Accessible to All. Kindergarten Readiness Our private Kindergarten experience supports early literacy, mathematics, classroom independence, and the routines children u"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Grade-level scope,Present,"5 - 6 Years The ultimate foundation for 1st grade. Our Private Kindergarten program blends the research-backed power of The Creative Curriculum® with targeted, mastery-based instruction in reading and math. We don't just prepare students for 1st grade—we equip them with the critical"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Tuition,Present,"next. Ask About This Program Private Kindergarten enrollment details Private Kindergarten tuition, class size, and campus availability vary by location and enrollment period. Academic expectations include literacy, writing, math, science, and independent classroom routines. Teachers provide regular progress r"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Campus availability,Present,"ram Private Kindergarten enrollment details Private Kindergarten tuition, class size, and campus availability vary by location and enrollment period. Academic expectations include literacy, writing, math, science, and independent classroom routines. Teachers provide regular progress reporting and family updat"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Class size,Present," About This Program Private Kindergarten enrollment details Private Kindergarten tuition, class size, and campus availability vary by location and enrollment period. Academic expectations include literacy, writing, math, science, and independent classroom routines. Teachers provide regular progress reporting "
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Academic expectations,Present,"arch-backed power of The Creative Curriculum® with targeted, mastery-based instruction in reading and math. We don't just prepare students for 1st grade—we equip them with the critical thinking, independence, and unshakeable confidence to lead. Book Tour View Curriculum A radar chart illustrating our Kinderga"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,Progress reporting,Present,"acy, writing, math, science, and independent classroom routines. Teachers provide regular progress reporting and family updates; enrollment can confirm current details without relying on outdated numbers. Teacher and family partnership Families stay close to the learning. Teachers share observations, celebrat"
kindergarten,https://x3yyntt5tp-staging.wpdns.site/programs/kindergarten/?codex_program_audit=20260718,200,No unapproved future grade expansion claim,Present,No future expansion claim found.
