"programId","program","slug","requirement","evidenceField","evidenceValue","status","ownerGate","nextAction"
"4324","Pre-K / GA Pre-K","ga-pre-k","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"4324","Pre-K / GA Pre-K","ga-pre-k","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4324","Pre-K / GA Pre-K","ga-pre-k","Campus availability","campus_links","yes","Present","Yes","Human fact and uniqueness review."
"4324","Pre-K / GA Pre-K","ga-pre-k","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","Yes","Owner may replace the visible program-specific FAQ fallback with program meta."
"4324","Pre-K / GA Pre-K","ga-pre-k","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Clear page title","post_title","Schoolagers","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4325","Schoolagers","after-school","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4325","Schoolagers","after-school","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4325","Schoolagers","after-school","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4325","Schoolagers","after-school","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4325","Schoolagers","after-school","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4325","Schoolagers","after-school","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4325","Schoolagers","after-school","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Clear page title","post_title","Camp ( Summer, Winter, Fall)","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4326","Camp ( Summer, Winter, Fall)","camp-summer-winter-fall","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Clear page title","post_title","Kindergarten","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Age range","age_range","yes","Present","Yes","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Example daily rhythm","template-schedule-fallback","missing","Present via template fallback","No","Human review of template-level sample rhythm."
"6785","Kindergarten","kindergarten-1","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"6785","Kindergarten","kindergarten-1","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"6785","Kindergarten","kindergarten-1","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"6785","Kindergarten","kindergarten-1","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"6785","Kindergarten","kindergarten-1","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"6785","Kindergarten","kindergarten-1","Campus availability","campus_links","yes","Present","Yes","Human fact and uniqueness review."
"6785","Kindergarten","kindergarten-1","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","Yes","Owner may replace the visible program-specific FAQ fallback with program meta."
"6785","Kindergarten","kindergarten-1","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Clear page title","post_title","Rising Pre-K","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Example daily rhythm","template-schedule-fallback","missing","Present via template fallback","No","Human review of template-level sample rhythm."
"7708","Rising Pre-K","rising-pre-k","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7708","Rising Pre-K","rising-pre-k","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7708","Rising Pre-K","rising-pre-k","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7708","Rising Pre-K","rising-pre-k","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7708","Rising Pre-K","rising-pre-k","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7708","Rising Pre-K","rising-pre-k","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"7708","Rising Pre-K","rising-pre-k","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"7708","Rising Pre-K","rising-pre-k","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Clear page title","post_title","Rising Kindergarten","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Age range","age_range","yes","Present","Yes","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Example daily rhythm","template-schedule-fallback","missing","Present via template fallback","No","Human review of template-level sample rhythm."
"7709","Rising Kindergarten","rising-kindergarten","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"7709","Rising Kindergarten","rising-kindergarten","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7709","Rising Kindergarten","rising-kindergarten","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"7709","Rising Kindergarten","rising-kindergarten","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","Yes","Owner may replace fallback with distinct program-specific operating copy."
"7709","Rising Kindergarten","rising-kindergarten","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"7709","Rising Kindergarten","rising-kindergarten","Campus availability","campus_links","yes","Present","Yes","Human fact and uniqueness review."
"7709","Rising Kindergarten","rising-kindergarten","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","Yes","Owner may replace the visible program-specific FAQ fallback with program meta."
"7709","Rising Kindergarten","rising-kindergarten","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Clear page title","post_title","Parent's Day Out","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Age range","age_range","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Brief parent-centered introduction","parent_intro","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","What children experience","experience","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Developmental priorities","priorities","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Example daily rhythm","schedule","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","PrismPath at this stage","prism_stage","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Teacher and family partnership","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4327","Parent's Day Out","parents-day-out","Classroom environment","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4327","Parent's Day Out","parents-day-out","Meals and rest where applicable","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4327","Parent's Day Out","parents-day-out","Safety and supervision","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4327","Parent's Day Out","parents-day-out","Transition to the next stage","template-required-details","Reusable program family-expectations section","Template fallback present","No","Owner may replace fallback with distinct program-specific operating copy."
"4327","Parent's Day Out","parents-day-out","Campus availability","campus_links","yes","Present","No","Human fact and uniqueness review."
"4327","Parent's Day Out","parents-day-out","Parent FAQs","template-program-faq","Program-specific visible FAQ fallback; editable program meta overrides it.","Template fallback present","No","Owner may replace the visible program-specific FAQ fallback with program meta."
"4327","Parent's Day Out","parents-day-out","Schedule-a-tour CTA","cta","yes","Present","No","Human fact and uniqueness review."
